更新时间: 2026-03-24 02:34:15（北京时间）

更新时间,#genre#
2026-03-24 02:34:15,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://171.8.84.159:8800/rtp/239.16.20.1:10010$河南电信
CCTV1,http://113.102.83.19:4022/rtp/239.77.0.86:5146$广东电信
CCTV1,http://144.255.40.221:7788/rtp/239.21.1.120:5002$山东电信
CCTV1,http://171.120.189.21:89/rtp/226.0.2.153:9136$山西联通
CCTV2,http://171.8.84.159:8800/rtp/239.16.20.2:10020$河南电信
CCTV2,http://113.102.83.19:4022/rtp/239.77.0.137:5146$广东电信
CCTV2,http://144.255.40.221:7788/rtp/239.21.1.151:5002$山东电信
CCTV2,http://171.120.189.21:89/rtp/226.0.2.154:9144$山西联通
CCTV3,http://171.8.84.159:8800/rtp/239.16.20.3:10030$河南电信
CCTV3,http://113.102.83.19:4022/rtp/239.77.0.169:5146$广东电信
CCTV3,http://144.255.40.221:7788/rtp/239.21.2.45:5002$山东电信
CCTV3,http://171.120.189.21:89/rtp/226.0.2.208:9576$山西联通
CCTV4,http://171.8.84.159:8800/rtp/239.16.20.4:10040$河南电信
CCTV4,http://113.102.83.19:4022/rtp/239.77.0.78:5146$广东电信
CCTV4,http://144.255.40.221:7788/rtp/239.21.1.154:5002$山东电信
CCTV4,http://171.120.189.21:89/rtp/226.0.2.156:9160$山西联通
CCTV4欧洲,http://113.102.83.19:4022/rtp/239.253.43.120:5146$广东电信
CCTV4欧洲,http://144.255.40.221:7788/rtp/239.21.2.28:5002$山东电信
CCTV4美洲,http://113.102.83.19:4022/rtp/239.253.43.121:5146$广东电信
CCTV4美洲,http://144.255.40.221:7788/rtp/239.21.2.29:5002$山东电信
CCTV5,http://171.8.84.159:8800/rtp/239.16.20.53:10530$河南电信
CCTV5,http://113.102.83.19:4022/rtp/239.77.0.170:5146$广东电信
CCTV5,http://144.255.40.221:7788/rtp/239.21.2.46:5002$山东电信
CCTV5,http://171.120.189.21:89/rtp/226.0.2.209:9584$山西联通
CCTV5+,http://171.8.84.159:8800/rtp/239.16.20.5:10050$河南电信
CCTV5+,http://113.102.83.19:4022/rtp/239.77.0.87:5146$广东电信
CCTV5+,http://144.255.40.221:7788/rtp/239.21.1.142:5002$山东电信
CCTV5+,http://171.120.189.21:89/rtp/226.0.2.168:9256$山西联通
CCTV6,http://171.8.84.159:8800/rtp/239.16.20.6:10060$河南电信
CCTV6,http://113.102.83.19:4022/rtp/239.77.0.171:5146$广东电信
CCTV6,http://144.255.40.221:7788/rtp/239.21.2.47:5002$山东电信
CCTV6,http://171.120.189.21:89/rtp/226.0.2.210:9592$山西联通
CCTV7,http://171.8.84.159:8800/rtp/239.16.20.51:10510$河南电信
CCTV7,http://113.102.83.19:4022/rtp/239.77.0.138:5146$广东电信
CCTV7,http://144.255.40.221:7788/rtp/239.21.1.152:5002$山东电信
CCTV7,http://171.120.189.21:89/rtp/226.0.2.159:9184$山西联通
CCTV8,http://171.8.84.159:8800/rtp/239.16.20.8:10080$河南电信
CCTV8,http://113.102.83.19:4022/rtp/239.77.0.172:5146$广东电信
CCTV8,http://144.255.40.221:7788/rtp/239.21.2.48:5002$山东电信
CCTV8,http://171.120.189.21:89/rtp/226.0.2.211:9600$山西联通
CCTV9,http://171.8.84.159:8800/rtp/239.16.20.9:10090$河南电信
CCTV9,http://113.102.83.19:4022/rtp/239.77.0.135:5146$广东电信
CCTV9,http://144.255.40.221:7788/rtp/239.21.1.153:5002$山东电信
CCTV9,http://171.120.189.21:89/rtp/226.0.2.161:9200$山西联通
CCTV10,http://171.8.84.159:8800/rtp/239.16.20.10:10100$河南电信
CCTV10,http://113.102.83.19:4022/rtp/239.77.0.134:5146$广东电信
CCTV10,http://144.255.40.221:7788/rtp/239.21.1.155:5002$山东电信
CCTV10,http://171.120.189.21:89/rtp/226.0.2.162:9208$山西联通
CCTV11,http://171.8.84.159:8800/rtp/239.16.20.11:10110$河南电信
CCTV11,http://113.102.83.19:4022/rtp/239.77.1.108:5146$广东电信
CCTV11,http://144.255.40.221:7788/rtp/239.21.2.2:5002$山东电信
CCTV12,http://171.8.84.159:8800/rtp/239.16.20.12:10120$河南电信
CCTV12,http://113.102.83.19:4022/rtp/239.77.0.136:5146$广东电信
CCTV12,http://144.255.40.221:7788/rtp/239.21.1.156:5002$山东电信
CCTV12,http://171.120.189.21:89/rtp/226.0.2.164:9224$山西联通
CCTV13,http://171.8.84.159:8800/rtp/239.16.20.13:10130$河南电信
CCTV13,http://113.102.83.19:4022/rtp/239.253.43.196:5146$广东电信
CCTV13,http://144.255.40.221:7788/rtp/239.21.2.3:5002$山东电信
CCTV13,http://171.120.189.21:89/rtp/226.0.2.165:9232$山西联通
CCTV14,http://171.8.84.159:8800/rtp/239.16.20.14:10140$河南电信
CCTV14,http://113.102.83.19:4022/rtp/239.77.0.133:5146$广东电信
CCTV14,http://144.255.40.221:7788/rtp/239.21.1.157:5002$山东电信
CCTV14,http://171.120.189.21:89/rtp/226.0.2.166:9240$山西联通
CCTV15,http://171.8.84.159:8800/rtp/239.16.20.15:10150$河南电信
CCTV15,http://113.102.83.19:4022/rtp/239.77.1.239:5146$广东电信
CCTV15,http://144.255.40.221:7788/rtp/239.21.2.4:5002$山东电信
CCTV16,http://113.102.83.19:4022/rtp/239.77.0.165:5146$广东电信
CCTV16,http://171.120.189.21:89/rtp/226.0.2.169:9264$山西联通
CCTV17,http://171.8.84.159:8800/rtp/239.16.20.7:10070$河南电信
CCTV17,http://113.102.83.19:4022/rtp/239.77.0.198:5146$广东电信
CCTV17,http://144.255.40.221:7788/rtp/239.21.1.186:5002$山东电信
CCTV17,http://171.120.189.21:89/rtp/226.0.2.170:9272$山西联通
CCTV4K,http://113.102.83.19:4022/rtp/239.77.0.194:5146$广东电信
CCTV4K,http://113.102.83.19:4022/rtp/239.77.1.180:5146$广东电信
兵器科技,http://113.102.83.19:4022/rtp/239.253.43.18:5146$广东电信
兵器科技,http://171.120.189.21:89/rtp/226.0.2.223:9696$山西联通
风云音乐,http://113.102.83.19:4022/rtp/239.253.43.29:5146$广东电信
风云音乐,http://171.120.189.21:89/rtp/226.0.2.220:9672$山西联通
风云足球,http://113.102.83.19:4022/rtp/239.253.43.14:5146$广东电信
风云足球,http://171.120.189.21:89/rtp/226.0.2.225:9712$山西联通
风云剧场,http://113.102.83.19:4022/rtp/239.253.43.26:5146$广东电信
风云剧场,http://171.120.189.21:89/rtp/226.0.2.227:9728$山西联通
怀旧剧场,http://113.102.83.19:4022/rtp/239.253.43.5:5146$广东电信
怀旧剧场,http://171.120.189.21:89/rtp/226.0.2.224:9704$山西联通
第一剧场,http://113.102.83.19:4022/rtp/239.253.43.15:5146$广东电信
第一剧场,http://171.120.189.21:89/rtp/226.0.2.221:9680$山西联通
女性时尚,http://113.102.83.19:4022/rtp/239.253.43.8:5146$广东电信
女性时尚,http://171.120.189.21:89/rtp/226.0.2.226:9720$山西联通
世界地理,http://113.102.83.19:4022/rtp/239.253.43.7:5146$广东电信
世界地理,http://171.120.189.21:89/rtp/226.0.2.222:9688$山西联通
央视台球,http://113.102.83.19:4022/rtp/239.253.43.11:5146$广东电信
央视台球,http://171.120.189.21:89/rtp/226.0.2.216:9640$山西联通
高尔夫网球,http://113.102.83.19:4022/rtp/239.253.43.22:5146$广东电信
央视文化精品,http://113.102.83.19:4022/rtp/239.253.43.27:5146$广东电信
央视文化精品,http://171.120.189.21:89/rtp/226.0.2.219:9664$山西联通
卫生健康,http://113.102.83.19:4022/rtp/239.77.0.212:5146$广东电信
电视指南,http://113.102.83.19:4022/rtp/239.253.43.19:5146$广东电信
电视指南,http://171.120.189.21:89/rtp/226.0.2.218:9656$山西联通
中学生,http://113.102.83.19:4022/rtp/239.77.1.195:5146$广东电信
发现之旅,http://113.102.83.19:4022/rtp/239.77.1.112:5146$广东电信
书法频道,http://113.102.83.19:4022/rtp/239.77.1.115:5146$广东电信
国学频道,http://171.8.84.159:8800/rtp/239.16.20.232:12320$河南电信
国学频道,http://113.102.83.19:4022/rtp/239.77.0.226:5146$广东电信
国学频道,http://171.120.189.21:89/rtp/226.0.2.116:8840$山西联通
环球奇观,http://113.102.83.19:4022/rtp/239.77.1.198:5146$广东电信
环球奇观,http://171.120.189.21:89/rtp/226.0.2.111:8800$山西联通

卫视频道,#genre#
湖南卫视,http://171.8.84.159:8800/rtp/239.16.20.72:10720$河南电信
湖南卫视,http://113.102.83.19:4022/rtp/239.77.1.5:5146$广东电信
湖南卫视,http://113.102.83.19:4022/rtp/239.77.0.56:5146$广东电信
湖南卫视,http://144.255.40.221:7788/rtp/239.21.1.158:5002$山东电信
湖南卫视,http://171.120.189.21:89/rtp/226.0.2.143:9056$山西联通
浙江卫视,http://171.8.84.159:8800/rtp/239.16.20.71:10710$河南电信
浙江卫视,http://113.102.83.19:4022/rtp/239.77.0.89:5146$广东电信
浙江卫视,http://113.102.83.19:4022/rtp/239.77.0.58:5146$广东电信
